Category: All categories

Week,Netflix: (United States),Hulu: (United States),Television show: (United States)
2021-01-31,60,18,53
2021-02-07,54,19,54
2021-02-14,63,20,56
2021-02-21,55,18,52
2021-02-28,53,18,52
2021-03-07,49,17,48
2021-03-14,47,16,45
2021-03-21,45,17,45
2021-03-28,48,16,47
2021-04-04,44,15,45
2021-04-11,46,15,50
2021-04-18,47,16,48
2021-04-25,48,17,45
2021-05-02,45,16,45
2021-05-09,46,15,48
2021-05-16,45,15,46
2021-05-23,47,16,48
2021-05-30,53,17,50
